approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
DeepSet,1,0.0,0.0,1.0,4.254098905189316,3.586390003156662,0.0804
DeepSet,2,0.00036009967445064964,0.0003483295440673828,1.0,2.973111779479193,2.3754333530902865,0.2647
DeepSet,3,0.0002840778010394146,0.00020236770311991373,1.0,1.5097088173748918,1.180530914324522,0.2684
DeepSet,4,0.12487516038624842,0.11454413831233978,1.0,1.6778254926085692,1.2884493986845016,0.3842
DeepSet,5,0.03912527082109852,0.03224602937698364,1.0,0.055326855857446,0.04496740852892399,1.0
DeepSet,6,0.08162038535217321,0.06859077513217926,1.0,0.1028559611893154,0.08858067964315415,0.9998
DeepSet,7,0.09684642003456123,0.0849581743989672,1.0,0.12398976311486644,0.10634723179638386,0.9998
DeepSet,8,0.12476964395293984,0.11114457622170448,1.0,0.17063769743209262,0.14329263015985488,1.0
DeepSet,9,0.1358228685008817,0.11933051380846235,1.0,0.14425691830873752,0.12523778937458993,0.9989
DeepSet,10,0.12116657559922492,0.105289888381958,1.0,0.13571115205275466,0.11404363358020783,1.0
DeepSet,20,0.140405495642024,0.12162286341190338,1.0,0.159234611375822,0.13088297597169876,1.0
