approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
Neural Network,1,0.0,0.0,1.0,4.6447691226224075,3.913107482671738,0.1408
Neural Network,2,2.0,2.0,0.0,3.5772166698993324,2.9319839874744416,0.163
Neural Network,3,1.4602534299858438,1.1736666361490886,0.3333333333333333,4.3097023935454,3.443263017504662,0.0898
Neural Network,4,1.624428776479198,1.3386671543121338,0.25,5.346971800976207,4.192152883408964,0.0813
Neural Network,5,1.2390236945502984,1.0175185918807983,0.2,4.43566450805047,3.558599946038425,0.0918
Neural Network,6,0.950352965293147,0.7689161896705627,0.5,4.361664769874782,3.5137058846995233,0.0921
Neural Network,7,0.7600243008902259,0.6095789245196751,0.42857142857142855,4.386481538897762,3.4916832103967668,0.1006
Neural Network,8,0.6734286597509713,0.5451125930994749,0.625,4.632623047487532,3.6578049909934403,0.0884
Neural Network,9,0.6474600856416467,0.5247624301248126,0.5555555555555556,4.453946497608465,3.526856716737151,0.0891
Neural Network,10,0.6607025271362665,0.542346715927124,0.5,4.885764787907815,3.8060998984977603,0.0906
Neural Network,20,0.2409017153039475,0.19086772352457046,0.95,4.306416478830122,3.385161875870824,0.0988
Neural Network,30,0.16664845891393654,0.1250676385029995,0.9666666666666667,5.011661695729577,3.831680542090215,0.089
Neural Network,40,0.31799864197131883,0.24644249584525824,0.875,4.610968849081607,3.59245682451725,0.0981
Neural Network,50,0.10823647352233386,0.08093821093440055,1.0,4.563930912017827,3.5161826449584215,0.1081
Neural Network,60,0.09048550538979266,0.0719714187240849,1.0,4.294240423010284,3.3524294793620704,0.1097
Neural Network,70,0.08276655160500403,0.0661252959099199,1.0,4.417622680130988,3.4161216213386507,0.11
Neural Network,80,0.063338107711944,0.04951351443305611,1.0,4.398159560762028,3.3777172449458392,0.1097
Neural Network,90,0.0524008238262081,0.04049496625860532,1.0,4.217875109643041,3.2600401191279293,0.1111
Neural Network,100,0.05591942291411769,0.04512657836079598,1.0,4.114927442357465,3.1745344765342773,0.1182
Neural Network,200,0.02829572670544363,0.021961291134357453,1.0,3.7283409635243454,2.9210596362128856,0.1281
Neural Network,300,0.7574059240622261,0.6001451342863341,0.52,2.3643759969349913,1.8821215030141174,0.1664
Neural Network,400,0.47360178850003604,0.35719417782500384,0.7475,1.9042696193950568,1.504834233070165,0.2261
Neural Network,500,0.32427378280002445,0.2520043049454689,0.872,1.2552849857394905,0.9916386010736227,0.3213
Neural Network,600,0.3970698574632883,0.32409048811843,0.77,0.621394373710666,0.49686373866796496,0.5724
Neural Network,700,0.3780065170852491,0.3087107466799872,0.7928571428571428,0.6195980393651408,0.484395063573122,0.602
Neural Network,800,0.6535639895337269,0.5289424595609308,0.55375,0.6821750941421116,0.543807841193676,0.5375
Neural Network,900,0.2667774320790789,0.20893677489625084,0.9344444444444444,0.3009153306798773,0.23737592117227613,0.9044
Neural Network,1000,0.49054771469746483,0.3545451934933662,0.721,0.5033880224970722,0.36819410373941064,0.7152
