approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
LR With Categorical Features,1,0.0,0.0,1.0,4.564602940015703,3.8114,0.1486
LR With Categorical Features,2,3.1401849173675503e-16,2.220446049250313e-16,1.0,3.525834810525177,2.903133333333334,0.0759
LR With Categorical Features,3,2.5639502485114184e-16,1.4802973661668753e-16,1.0,3.59027498012484,2.8259098039215687,0.1058
LR With Categorical Features,4,1.831026719408895e-15,1.1102230246251565e-15,1.0,2.934156053246423,2.3510495412844032,0.1294
LR With Categorical Features,5,4.440892098500626e-16,2.6645352591003756e-16,1.0,3.040735226624136,2.3760397614314113,0.1299
LR With Categorical Features,6,1.1466334093198022e-15,8.881784197001252e-16,1.0,2.864079974889342,2.26401108033241,0.1375
LR With Categorical Features,7,1.074764045767081e-15,8.247371040072592e-16,1.0,2.8614288856731553,2.2634000293384187,0.1369
LR With Categorical Features,8,9.28879225241625e-16,6.106226635438361e-16,1.0,2.934699382284871,2.287496409070982,0.1406
LR With Categorical Features,9,1.3727713033718711e-15,1.0855514018557087e-15,1.0,2.936566653919038,2.2843624020122593,0.1417
LR With Categorical Features,10,1.9152553900923254e-15,1.5099033134902129e-15,1.0,2.183966941356689,1.7501438571524908,0.1759
LR With Categorical Features,20,1.7070149096049178e-07,1.4969660273589368e-07,1.0,0.9199713783678627,0.741375072578617,0.4062
LR With Categorical Features,30,2.6385504505141194e-06,2.1453616421288996e-06,1.0,1.6297051900053573e-06,1.3207642610025606e-06,1.0
LR With Categorical Features,40,1.543579269827156e-05,1.224049148139672e-05,1.0,3.392774322857997e-05,2.6910005751236498e-05,1.0
